timestamp,src_ip,dst_ip,selected_path,throughput_mbps,delay_ms,loss_pct,exec_time_ms,path_changed,topsis_scores
1779887938.8282008,10.0.0.40,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0019,1,
1779887938.8296993,10.0.0.40,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0014,1,
1779887938.8307445,10.0.0.40,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0014,1,
1779887938.8380084,10.0.0.1,10.0.0.41,"[1, 7, 13]",15.0,11.9688,0.0,0.3743,0,
1779887938.841006,10.0.0.1,10.0.0.41,"[7, 13]",15.0,6.526,0.0,0.1812,1,
1779887938.8449953,10.0.0.41,10.0.0.1,"[13, 7, 1]",14.9998,11.9998,0.0,0.1509,0,
1779887938.8472,10.0.0.41,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.0036,1,
1779887938.8538635,10.0.0.1,10.0.0.42,"[1, 7, 13]",15.0,11.9688,0.0,0.0019,0,
1779887938.8558593,10.0.0.1,10.0.0.42,"[7, 13]",15.0,6.526,0.0,0.0021,1,
1779887938.8604953,10.0.0.42,10.0.0.1,"[13, 7, 1]",14.9998,11.9998,0.0,0.0024,0,
1779887938.8626103,10.0.0.42,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.0031,1,
1779887938.870142,10.0.0.1,10.0.0.43,"[1, 7, 13]",15.0,11.9688,0.0,0.0024,0,
1779887938.8713691,10.0.0.1,10.0.0.43,"[7, 13]",15.0,6.526,0.0,0.0019,1,
1779887938.8749678,10.0.0.43,10.0.0.1,"[13, 7, 1]",14.9998,11.9998,0.0,0.0029,0,
